bno,writer,title,url,comp_yn,level,ins_date,upd_date,goal_yn
1,hannah,직사각형 별찍기,https://programmers.co.kr/learn/courses/30/lessons/12969,N,1,2022-01-01,2022-01-01,N
2,hannah,짝수와 홀수,https://programmers.co.kr/learn/courses/30/lessons/12969,N,1,2022-01-02,2022-01-02,N
3,hannah,가운데 글자 가져오기,https://programmers.co.kr/learn/courses/30/lessons/12937,N,1,2022-01-03,2022-01-03,N
4,hannah,두 정수 사이의 합,https://programmers.co.kr/learn/courses/30/lessons/12903,N,1,2022-01-04,2022-01-04,N
5,hannah,문자열을 정수로 바꾸기,https://programmers.co.kr/learn/courses/30/lessons/12912,N,1,2022-01-05,2022-01-05,N
6,hannah,없는 숫자 더１기,https://programmers.co.kr/learn/courses/30/lessons/12925,N,1,2022-01-06,2022-01-06,N
7,hannah,음양 더１기,https://programmers.co.kr/learn/courses/30/lessons/86051,N,1,2022-01-07,2022-01-07,N
8,hannah,평균 구１기,https://programmers.co.kr/learn/courses/30/lessons/76501,N,1,2022-01-08,2022-01-08,N
9,hannah,핸드폰 번호 가리기,https://programmers.co.kr/learn/courses/30/lessons/12944,N,1,2022-01-09,2022-01-09,N
10,hannah,행렬의 덧셈,https://programmers.co.kr/learn/courses/30/lessons/12948,N,1,2022-01-10,2022-01-10,N
11,hannah,x만큼 간격이 있는,https://programmers.co.kr/learn/courses/30/lessons/12950,N,1,2022-01-11,2022-01-11,N
12,hannah,부족한 금액 계산１기,https://programmers.co.kr/learn/courses/30/lessons/12954,N,2,2022-01-01,2022-01-01,N
13,hannah,2016년,https://programmers.co.kr/learn/courses/30/lessons/82612,N,2,2022-01-02,2022-01-02,N
14,hannah,나누어 떨어지는 숫자 배열,https://programmers.co.kr/learn/courses/30/lessons/12901,N,2,2022-01-03,2022-01-03,N
15,hannah,내적,https://programmers.co.kr/learn/courses/30/lessons/12910,N,2,2022-01-04,2022-01-04,N
16,hannah,문자열 내 p와 y의 개수,https://programmers.co.kr/learn/courses/30/lessons/70128,N,2,2022-01-05,2022-01-05,N
17,hannah,문자열 다루기 기본,https://programmers.co.kr/learn/courses/30/lessons/12916,N,2,2022-01-06,2022-01-06,N
18,hannah,서울에서 김서방 찾기,https://programmers.co.kr/learn/courses/30/lessons/12918,N,2,2022-01-07,2022-01-07,N
19,hannah,수박수박수박수박수박수?,https://programmers.co.kr/learn/courses/30/lessons/12919,N,2,2022-01-08,2022-01-08,N
20,hannah,완주１지 못한 선수,https://programmers.co.kr/learn/courses/30/lessons/12922,N,2,2022-01-09,2022-01-09,N
21,hannah,이３한 문자 만들기,https://programmers.co.kr/learn/courses/30/lessons/42576,N,2,2022-01-10,2022-01-10,N
22,hannah,자릿수 더１기,https://programmers.co.kr/learn/courses/30/lessons/12930,N,2,2022-01-11,2022-01-11,N
23,hannah,자연수 뒤집기,https://programmers.co.kr/learn/courses/30/lessons/12931,N,2,2022-01-12,2022-01-12,N
24,hannah,내림차순으로 배치１기,https://programmers.co.kr/learn/courses/30/lessons/12932,N,2,2022-01-13,2022-01-13,N
25,hannah,정수 제곱근 판별,https://programmers.co.kr/learn/courses/30/lessons/12933,N,2,2022-01-14,2022-01-14,N
26,hannah,제일 작은 수 제거１기,https://programmers.co.kr/learn/courses/30/lessons/12934,N,2,2022-01-15,2022-01-15,N
27,hannah,콜라츠 추측,https://programmers.co.kr/learn/courses/30/lessons/12935,N,2,2022-01-16,2022-01-16,N
28,hannah,１샤드 수,https://programmers.co.kr/learn/courses/30/lessons/12943,N,2,2022-01-17,2022-01-17,N
29,hannah,3진법 뒤집기,https://programmers.co.kr/learn/courses/30/lessons/12947,N,2,2022-01-18,2022-01-18,N
30,hannah,최소직사각형,https://programmers.co.kr/learn/courses/30/lessons/68935,N,2,2022-01-19,2022-01-19,N
31,hannah,같은 숫자는 싫어,https://programmers.co.kr/learn/courses/30/lessons/86491,N,2,2022-01-20,2022-01-20,N
32,hannah,두 개 뽑아서 더１기,https://programmers.co.kr/learn/courses/30/lessons/12906,N,2,2022-01-21,2022-01-21,N
33,hannah,로또의 순위,https://programmers.co.kr/learn/courses/30/lessons/68644,N,2,2022-01-22,2022-01-22,N
34,hannah,모의고사,https://programmers.co.kr/learn/courses/30/lessons/77484,N,2,2022-01-23,2022-01-23,N
35,hannah,문자열 정렬１기,https://programmers.co.kr/learn/courses/30/lessons/42840,N,2,2022-01-24,2022-01-24,N
36,hannah,내림차순으로 배치１기,https://programmers.co.kr/learn/courses/30/lessons/12915,N,2,2022-01-25,2022-01-25,N
37,hannah,소수 만들기,https://programmers.co.kr/learn/courses/30/lessons/12917,N,2,2022-01-26,2022-01-26,N
38,hannah,숫자 문자열과 영단어,https://programmers.co.kr/learn/courses/30/lessons/12977,N,2,2022-01-27,2022-01-27,N
39,hannah,시저 암호,https://programmers.co.kr/learn/courses/30/lessons/81301,N,2,2022-01-28,2022-01-28,N
40,hannah,신규 아이디 추천,https://programmers.co.kr/learn/courses/30/lessons/12926,N,2,2022-01-29,2022-01-29,N
41,hannah,약수의 개수와 덧셈,https://programmers.co.kr/learn/courses/30/lessons/77884,N,2,2022-01-30,2022-01-30,N
42,hannah,약수의 합,https://programmers.co.kr/learn/courses/30/lessons/77884,N,2,2022-01-31,2022-01-31,N
43,hannah,예산,https://programmers.co.kr/learn/courses/30/lessons/12928,N,2,2022-02-01,2022-02-01,N
44,hannah,최대공약수와 최소공배수,https://programmers.co.kr/learn/courses/30/lessons/12982,N,2,2022-02-02,2022-02-02,N
45,hannah,K번째 수,https://programmers.co.kr/learn/courses/30/lessons/12940,N,2,2022-02-03,2022-02-03,N
46,hannah,나머지가 1이 되는 수,https://programmers.co.kr/learn/courses/30/lessons/42748,N,3,2022-01-01,2022-01-01,N
47,hannah,소수 찾기,https://programmers.co.kr/learn/courses/30/lessons/87389,N,3,2022-01-02,2022-01-02,N
48,hannah,실패율,https://programmers.co.kr/learn/courses/30/lessons/12921,N,3,2022-01-03,2022-01-03,N
49,hannah,체육복,https://programmers.co.kr/learn/courses/30/lessons/42889,N,3,2022-01-04,2022-01-04,N
50,hannah,폰켓몬,https://programmers.co.kr/learn/courses/30/lessons/42862,N,3,2022-01-05,2022-01-05,N
51,hannah,[1차] 비밀지도,https://programmers.co.kr/learn/courses/30/lessons/1845,N,3,2022-01-06,2022-01-06,N
52,hannah,키패드 누르기,https://programmers.co.kr/learn/courses/30/lessons/17681,N,3,2022-01-07,2022-01-07,N
53,hannah,[1차] 다트 게임,https://programmers.co.kr/learn/courses/30/lessons/67256,N,3,2022-01-08,2022-01-08,N
54,hannah,크레인 인형뽑기 게임,https://programmers.co.kr/learn/courses/30/lessons/17682,N,3,2022-01-09,2022-01-09,N
,,,,,,,,
,,,,,,,,
,,,,,,,,
